edge_id,model,hard_detected,soft_detected,direction_correct,detection_rate,mean_jsd,median_jsd,jsd_ci_lower,jsd_ci_upper,omnibus_significant
S5R,deepseek-r1,False,False,True,0.2,0.14780841765944408,0.05747701477772982,0.06888713172213512,0.2443585304129672,False
S22,deepseek-r1,False,False,True,0.16666666666666666,0.16731885705866725,0.023679731614670758,0.01621382897975345,0.38523028193083986,False
S23R,deepseek-r1,False,True,True,0.13043478260869565,0.1802704106545969,0.07488176057084842,0.10591353239838536,0.25882437947956116,True
S4R,deepseek-r1,False,True,True,0.2,0.2230854596502641,0.18012530922751047,0.12734982081486687,0.32439635430508335,True
S28,deepseek-r1,False,True,True,0.13636363636363635,0.17074733809190895,0.0733308704949858,0.09632517589593406,0.2550036019139429,True
SA2,deepseek-r1,False,False,True,0.0,0.0732327881654289,0.050426636257285704,0.0367580557292367,0.13162294897415056,False
S8,deepseek-r1,False,False,True,0.0,0.052162902749076645,0.04859279214962665,0.03092879426356485,0.08411839956527016,False
S6R,deepseek-r1,False,False,True,0.0,0.05499843846065031,0.03487003625267164,0.03529522769739119,0.0740350234496656,False
S80,deepseek-r1,False,False,True,0.0,0.05150954264939398,0.04620981004417904,0.039454455811058504,0.06463696141633152,False
S7R,deepseek-r1,False,False,True,0.047619047619047616,0.05838883573233276,0.044903072780134834,0.0407009180542121,0.08074236571593432,False
S14,deepseek-r1,False,False,True,0.0,0.039902034196020945,0.036870545478287435,0.023726821025267984,0.058353380268292204,False
S27,deepseek-r1,False,False,True,0.06666666666666667,0.07048893694265555,0.03676729752241204,0.036059169974160296,0.11863177481586017,False
S45,deepseek-r1,False,True,True,0.25,0.07305696742068152,0.03689396510441251,0.007267816898720138,0.16703583347270692,False
S46,deepseek-r1,False,False,False,0.14285714285714285,0.06511676385286733,0.03869464276424467,0.02279108526910255,0.12030399378580527,False
S40R,deepseek-r1,False,True,True,0.25,0.07305696742068152,0.03689396510441251,0.007267816898720138,0.16703583347270692,False
S41R,deepseek-r1,False,True,True,0.25,0.07305696742068152,0.03689396510441251,0.007267816898720138,0.16703583347270692,False
S49R,deepseek-r1,False,True,True,0.25,0.07305696742068152,0.03689396510441251,0.007267816898720138,0.16703583347270692,False
S16R,deepseek-r1,False,True,True,0.25,0.16217136053751843,0.1108000275766686,0.01224876971594057,0.32216349222812796,True
S39R,deepseek-r1,False,True,True,0.3333333333333333,0.1718765901597125,0.20137744859885076,0.052179654522275166,0.28208361586618663,True
S42R,deepseek-r1,False,True,True,0.2,0.130390431653077,0.02022260655448642,0.007262824260396381,0.2946151054144375,True
S17R,deepseek-r1,False,True,True,0.42857142857142855,0.3134576198389883,0.3444530968012105,0.12814047558437186,0.49378989476608637,True
S18R,deepseek-r1,False,True,True,0.42857142857142855,0.3134576198389883,0.3444530968012105,0.12814047558437186,0.49378989476608637,True
S10R,deepseek-r1,False,False,True,0.05,0.10668333157292734,0.03229903027508468,0.05438969207778654,0.16693608384576444,False
S9R,deepseek-r1,False,True,True,0.0,0.09411329527898438,0.027507287566131224,0.01673851342988759,0.19627093063712545,True
S24R,deepseek-r1,False,False,True,0.0,0.0851455305821754,0.03869464276424467,0.03505692416009205,0.15169424981346755,False
S12,deepseek-r1,False,True,True,0.0,0.07726388588673709,0.04859279214962665,0.03633678895450569,0.1339763067405172,True
S43,deepseek-r1,False,True,True,0.0,0.0719250065534505,0.04859279214962665,0.03456671332372264,0.11810577004719407,True
S112,deepseek-r1,False,True,True,0.0,0.13655382309485636,0.14880912845906202,0.048705610983549016,0.23541090158486813,True
S19R,deepseek-r1,False,True,True,0.06666666666666667,0.06987079253642396,0.024486967746514945,0.03317536538233155,0.11322703014038563,True
S115,deepseek-r1,False,False,True,0.1111111111111111,0.06860605460955697,0.04152746914508508,0.02893885547426952,0.1261262321669128,False
S38R,deepseek-r1,False,True,False,0.5,0.27682550644527437,0.27682550644527437,0.0,0.0,False
S15R,deepseek-r1,False,False,False,0.0,0.0655866412902867,0.05694822610617878,0.05212816650424464,0.08554689209624486,False
S68R,deepseek-r1,True,True,True,0.6666666666666666,0.3544242579045961,0.2950886331853702,0.26892308337350074,0.4418708145609223,True
S52R,deepseek-r1,True,True,True,0.6470588235294118,0.3446964777195982,0.2763011662272942,0.26022213110947146,0.43024063132681845,True
S72R,deepseek-r1,True,True,True,0.6666666666666666,0.3544242579045961,0.2950886331853702,0.26892308337350074,0.4418708145609223,True
