family,model,model_label,gold_edges_in_family,soft_recall,soft_precision,soft_fdr,soft_direction_accuracy,sid_rate,mean_causal_jsd,fraction_above_global_null95
cT4a_selected,deepseek-r1,DeepSeek-R1,10,0.5,0.7142857142857143,0.2857142857142857,0.8,0.26666666666666666,0.07680193700456155,0.019230769230769232
cT4a_selected,kimi-k2.5,Kimi K2.5,10,0.5,1.0,0.0,1.0,0.26666666666666666,0.08001346587654605,0.03636363636363636
cT4a_selected,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,10,0.2,0.4,0.6,0.5,0.21428571428571427,0.07248208509092675,0.06382978723404255
cT4a_selected,mistral-small-24b,Mistral-Small-24B,10,0.0,0.0,1.0,,0.21428571428571427,0.10192912716926797,0.11538461538461539
cT4a_selected,gemma-4-31b-it,Gemma 4 31B,10,0.0,,,,0.21428571428571427,0.12479855351815693,0.13333333333333333
cT4a_selected,llama-3.1-8b,Llama 3.1-8B,10,0.0,,,,0.21428571428571427,0.022776877448740452,0.0
cT4a_unselected,deepseek-r1,DeepSeek-R1,0,,,,,,,
cT4a_unselected,kimi-k2.5,Kimi K2.5,0,,,,,,,
cT4a_unselected,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,0,,,,,,,
cT4a_unselected,mistral-small-24b,Mistral-Small-24B,0,,,,,,,
cT4a_unselected,gemma-4-31b-it,Gemma 4 31B,0,,,,,,,
cT4a_unselected,llama-3.1-8b,Llama 3.1-8B,0,,,,,,,
cisplatin_eligibility,deepseek-r1,DeepSeek-R1,8,1.0,0.6666666666666666,0.3333333333333333,0.75,0.11363636363636363,0.15807426948923045,0.15079365079365079
cisplatin_eligibility,kimi-k2.5,Kimi K2.5,8,1.0,1.0,0.0,0.75,0.2,0.24343773364993393,0.3146853146853147
cisplatin_eligibility,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,8,0.875,1.0,0.0,0.8571428571428571,0.1111111111111111,0.1606267129824867,0.19021739130434784
cisplatin_eligibility,mistral-small-24b,Mistral-Small-24B,8,1.0,1.0,0.0,0.5,0.1111111111111111,0.1903067924125932,0.2318840579710145
cisplatin_eligibility,gemma-4-31b-it,Gemma 4 31B,8,0.125,0.5,0.5,0.0,0.17391304347826086,0.12182647553064856,0.10606060606060606
cisplatin_eligibility,llama-3.1-8b,Llama 3.1-8B,8,0.25,1.0,0.0,0.0,0.3023255813953488,0.08447781746812066,0.013888888888888888
elderly_frail,deepseek-r1,DeepSeek-R1,6,0.8333333333333334,0.625,0.375,0.4,0.25,0.19233994472817684,0.21428571428571427
elderly_frail,kimi-k2.5,Kimi K2.5,6,0.8333333333333334,0.5,0.5,0.4,0.16666666666666666,0.28414596522705027,0.45454545454545453
elderly_frail,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,6,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.18181818181818182,0.07525459476374338,0.07692307692307693
elderly_frail,mistral-small-24b,Mistral-Small-24B,6,0.6666666666666666,0.5714285714285714,0.42857142857142855,0.5,0.18181818181818182,0.16060668515480772,0.3333333333333333
elderly_frail,gemma-4-31b-it,Gemma 4 31B,6,0.8333333333333334,0.625,0.375,0.2,0.375,0.15343226454794978,0.17647058823529413
elderly_frail,llama-3.1-8b,Llama 3.1-8B,6,0.0,,,,0.1,0.09752829268051771,0.0
glottic_cT2,deepseek-r1,DeepSeek-R1,6,0.16666666666666666,1.0,0.0,1.0,0.10714285714285714,0.08625253844425529,0.075
glottic_cT2,kimi-k2.5,Kimi K2.5,6,0.5,1.0,0.0,0.6666666666666666,0.14285714285714285,0.1232161744726553,0.13953488372093023
glottic_cT2,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,6,0.16666666666666666,1.0,0.0,1.0,0.16666666666666666,0.07786879903674654,0.07692307692307693
glottic_cT2,mistral-small-24b,Mistral-Small-24B,6,0.16666666666666666,1.0,0.0,1.0,0.125,0.06824308481539507,0.02702702702702703
glottic_cT2,gemma-4-31b-it,Gemma 4 31B,6,0.5,0.75,0.25,0.3333333333333333,0.16666666666666666,0.13978507673644935,0.1388888888888889
glottic_cT2,llama-3.1-8b,Llama 3.1-8B,6,0.16666666666666666,1.0,0.0,1.0,0.16666666666666666,0.04667741496072076,0.027777777777777776
glottic_cT3,deepseek-r1,DeepSeek-R1,19,0.6842105263157895,0.8125,0.1875,1.0,0.11538461538461539,0.14662052485759036,0.20353982300884957
glottic_cT3,kimi-k2.5,Kimi K2.5,19,0.7894736842105263,0.75,0.25,0.5333333333333333,0.189873417721519,0.1836593536313694,0.21875
glottic_cT3,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,19,0.631578947368421,0.8571428571428571,0.14285714285714285,0.9166666666666666,0.1038961038961039,0.08667008824559112,0.1206896551724138
glottic_cT3,mistral-small-24b,Mistral-Small-24B,19,0.5789473684210527,0.9166666666666666,0.08333333333333333,1.0,0.11842105263157894,0.10254690948471624,0.12871287128712872
glottic_cT3,gemma-4-31b-it,Gemma 4 31B,19,0.3684210526315789,0.7,0.3,0.8571428571428571,0.18421052631578946,0.11170536938211363,0.08602150537634409
glottic_cT3,llama-3.1-8b,Llama 3.1-8B,19,0.21052631578947367,0.8,0.2,0.75,0.19736842105263158,0.06998593211835868,0.0594059405940594
hypopharyngeal,deepseek-r1,DeepSeek-R1,4,0.75,1.0,0.0,1.0,0.0,0.14789300404385217,0.23076923076923078
hypopharyngeal,kimi-k2.5,Kimi K2.5,4,0.5,1.0,0.0,1.0,0.0,0.09224337055052033,0.06060606060606061
hypopharyngeal,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,4,0.0,,,,0.0,0.08901311596374907,0.13333333333333333
hypopharyngeal,mistral-small-24b,Mistral-Small-24B,4,0.25,0.2,0.8,0.0,0.0,0.06608341779929473,0.18181818181818182
hypopharyngeal,gemma-4-31b-it,Gemma 4 31B,4,0.25,1.0,0.0,1.0,0.0,0.11081174932970321,0.09523809523809523
hypopharyngeal,llama-3.1-8b,Llama 3.1-8B,4,0.0,,,,0.0,0.044675218747330415,0.0
post_ict_response,deepseek-r1,DeepSeek-R1,11,0.45454545454545453,0.35714285714285715,0.6428571428571429,0.8,0.4117647058823529,0.1554568067963102,0.1896551724137931
post_ict_response,kimi-k2.5,Kimi K2.5,11,1.0,0.5789473684210527,0.42105263157894735,0.9090909090909091,0.17647058823529413,0.2022952615483482,0.2711864406779661
post_ict_response,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,11,0.18181818181818182,0.14285714285714285,0.8571428571428571,0.5,0.29411764705882354,0.14878546570697462,0.27419354838709675
post_ict_response,mistral-small-24b,Mistral-Small-24B,11,0.09090909090909091,0.25,0.75,1.0,0.29411764705882354,0.09742831678639277,0.08928571428571429
post_ict_response,gemma-4-31b-it,Gemma 4 31B,11,0.8181818181818182,0.75,0.25,1.0,0.11764705882352941,0.1506744274224894,0.20454545454545456
post_ict_response,llama-3.1-8b,Llama 3.1-8B,11,0.18181818181818182,0.4,0.6,0.5,0.29411764705882354,0.11657228619303578,0.038461538461538464
pretreatment_function,deepseek-r1,DeepSeek-R1,5,0.8,0.6666666666666666,0.3333333333333333,0.75,0.0,0.14837101523936652,0.1774193548387097
pretreatment_function,kimi-k2.5,Kimi K2.5,5,0.6,0.5,0.5,1.0,0.0,0.1640075455169517,0.1774193548387097
pretreatment_function,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,5,0.2,0.5,0.5,1.0,0.0,0.10280965627588777,0.17543859649122806
pretreatment_function,mistral-small-24b,Mistral-Small-24B,5,0.2,0.5,0.5,0.0,0.0,0.10886539354036354,0.09433962264150944
pretreatment_function,gemma-4-31b-it,Gemma 4 31B,5,0.2,1.0,0.0,1.0,0.0,0.09703163595557142,0.08695652173913043
pretreatment_function,llama-3.1-8b,Llama 3.1-8B,5,0.4,1.0,0.0,0.5,0.0,0.17545640313413513,0.08163265306122448
supraglottic_cT3,deepseek-r1,DeepSeek-R1,5,0.6,0.75,0.25,1.0,0.13043478260869565,0.12403015257173845,0.13636363636363635
supraglottic_cT3,kimi-k2.5,Kimi K2.5,5,0.6,0.75,0.25,1.0,0.17391304347826086,0.12351105378991184,0.07692307692307693
supraglottic_cT3,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,5,0.0,0.0,1.0,,0.21739130434782608,0.061720874059138675,0.058823529411764705
supraglottic_cT3,mistral-small-24b,Mistral-Small-24B,5,0.0,0.0,1.0,,0.17391304347826086,0.11164411692929326,0.11363636363636363
supraglottic_cT3,gemma-4-31b-it,Gemma 4 31B,5,0.0,,,,0.17391304347826086,0.07950767351480173,0.0
supraglottic_cT3,llama-3.1-8b,Llama 3.1-8B,5,0.0,,,,0.17391304347826086,0.02650658165948111,0.0
