run_count,replicate,model,model_label,selected_runs,mean_causal_jsd,mean_null_jsd,snr,detection_power
1,0,deepseek-r1,DeepSeek-R1,1,0.33539379594967234,0.2789494741922885,1.2023460410557183,0.0
1,0,kimi-k2.5,Kimi K2.5,1,0.3341959609641378,0.2599301918609961,1.2857142857142856,0.0
1,0,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,1,0.22695969554824438,0.1593441789186183,1.4243362831858408,0.0
1,0,mistral-small-24b,Mistral-Small-24B,1,0.3384380588863047,0.33745323153883705,1.0029184113691152,0.0
1,0,gemma-4-31b-it,Gemma 4 31B,1,0.3004973316312094,0.13202803396114088,2.2760115606936417,0.0
1,0,llama-3.1-8b,Llama 3.1-8B,1,0.154413975362968,0.1881399483946257,0.8207399687337158,0.0
1,1,deepseek-r1,DeepSeek-R1,11,0.3390064802146324,0.20714743259420382,1.6365468592542824,0.0
1,1,kimi-k2.5,Kimi K2.5,11,0.3833071953710541,0.18040816969347676,2.124666504972107,0.0
1,1,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,11,0.23609379872090477,0.15234003918593175,1.5497816593886466,0.0
1,1,mistral-small-24b,Mistral-Small-24B,11,0.25602733612734746,0.22788400382333904,1.1234984984984984,0.0
1,1,gemma-4-31b-it,Gemma 4 31B,11,0.25340864582864137,0.20794415348879686,1.2186379928315414,0.0
1,1,llama-3.1-8b,Llama 3.1-8B,11,0.13929273439440937,0.19656412518841496,0.7086376227650465,0.0
1,2,deepseek-r1,DeepSeek-R1,9,0.3213682372099587,0.23404969656747704,1.3730769230769224,0.0
1,2,kimi-k2.5,Kimi K2.5,9,0.3327106455820749,0.24218395386245428,1.373793103448275,0.0
1,2,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,9,0.2652041377828133,0.22308185048606569,1.1888198757763968,0.0
1,2,mistral-small-24b,Mistral-Small-24B,9,0.33419596096413784,0.2166084932174967,1.5428571428571431,0.0
1,2,gemma-4-31b-it,Gemma 4 31B,9,0.21753023148650738,0.16833574330045462,1.2922403003754694,0.0
1,2,llama-3.1-8b,Llama 3.1-8B,9,0.15995704114522835,0.13251343114482153,1.2071005917159763,0.0
1,3,deepseek-r1,DeepSeek-R1,6,0.30286160493113057,0.19571214446004412,1.547484984984985,0.0
1,3,kimi-k2.5,Kimi K2.5,6,0.33559614514783204,0.20149627276046214,1.6655203619909498,0.0
1,3,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,6,0.23712929783810166,0.1386294356591979,1.7105263157894735,0.0
1,3,mistral-small-24b,Mistral-Small-24B,6,0.3161723971174689,0.21888858261978617,1.4444444444444444,0.0
1,3,gemma-4-31b-it,Gemma 4 31B,6,0.33841891646215966,0.12160476812210344,2.7829411764705885,0.0
1,3,llama-3.1-8b,Llama 3.1-8B,6,0.12996509593049807,0.1936734762885853,0.6710526315789476,0.0
1,4,deepseek-r1,DeepSeek-R1,6,0.30286160493113057,0.19571214446004412,1.547484984984985,0.0
1,4,kimi-k2.5,Kimi K2.5,6,0.33559614514783204,0.20149627276046214,1.6655203619909498,0.0
1,4,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,6,0.23712929783810166,0.1386294356591979,1.7105263157894735,0.0
1,4,mistral-small-24b,Mistral-Small-24B,6,0.3161723971174689,0.21888858261978617,1.4444444444444444,0.0
1,4,gemma-4-31b-it,Gemma 4 31B,6,0.33841891646215966,0.12160476812210344,2.7829411764705885,0.0
1,4,llama-3.1-8b,Llama 3.1-8B,6,0.12996509593049807,0.1936734762885853,0.6710526315789476,0.0
1,5,deepseek-r1,DeepSeek-R1,12,0.3557746578864371,0.2589780666160841,1.373763664757938,0.0
1,5,kimi-k2.5,Kimi K2.5,12,0.28802006038783123,0.22812438779361685,1.2625570776255703,0.0
1,5,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,12,0.2501357208633353,0.18904013953526988,1.323188405797101,0.0
1,5,mistral-small-24b,Mistral-Small-24B,12,0.22496882102589136,0.18826219657421936,1.1949760765550241,0.0
1,5,gemma-4-31b-it,Gemma 4 31B,12,0.27984202850459206,0.20537694171733023,1.3625776397515528,0.0
1,5,llama-3.1-8b,Llama 3.1-8B,12,0.12602675969017993,0.1366769083963923,0.9220779220779223,0.0
1,6,deepseek-r1,DeepSeek-R1,1,0.33539379594967234,0.2789494741922885,1.2023460410557183,0.0
1,6,kimi-k2.5,Kimi K2.5,1,0.3341959609641378,0.2599301918609961,1.2857142857142856,0.0
1,6,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,1,0.22695969554824438,0.1593441789186183,1.4243362831858408,0.0
1,6,mistral-small-24b,Mistral-Small-24B,1,0.3384380588863047,0.33745323153883705,1.0029184113691152,0.0
